ID;Nombre;Grado;Curso;Nota1;Nota2;Nota3;Nota4;Nota5;Nota6;Nota7;Nota8;Promedio;Faltas;Estado;NombreAcudiente;CorreoAcudiente;TelefonoAcudiente
2101;Benjamin Correa Salas;1;101;2,50;1,00;5,00;2,00;4,00;3,00;4,00;0.00;3,67;19;ALERTA DE ASISTENCIA;Javier Correa Diaz;benja.correa@gmail.com;3152223344
2111;Abigail Lopez Pena;1;102;4,00;3,60;4,80;4,00;0.00;0.00;0.00;0.00;4,10;1;NORMAL;Diana Pena Jimenez;abigail.lopez.p@gmail.com;3204445566
2201;Thiago Ruiz Cano;2;201;3,00;3,30;3,80;3,00;2,00;1,00;3,00;4,00;2,50;8;ALERTA DE DESERCIÓN;Luis Ruiz Carmel;Luisruiz09q@gmail.com;3112345678
2301;Miguel Pava Soler;3;301;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Andres Pava Montes;Andres12322@gmail.com;3015830582
2311;Valeria Jimena Ortiz;3;302;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Esperanza Ortiz Castillo;esperanza.ortiz.j@gmail.com;3149698898
2401;Daniel Felipe Castro;4;401;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Mario Castro Pineda;mario.castro.f@gmail.com;3171110090
2411;Gabriela Maria Suarez;4;402;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Lucia Suarez Minota;luciasuarezm@gmail.com;3025846592
2501;Alejandro Mesa Giraldo;5;501;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Gustavo Mesa Rios;gustavomesari@gmail.com;3115692577
2511;Juliana Andrea Caicedo Mendez;5;502;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Patricia Caicedo Melendes;patriciacaicedomm@gmail.com;3122323232
3601;Mateo Alexander Flores;6;601;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Orlando Florez Barrios;orlandofloreza@gmail.com;3003434343
3640;Paula Ximena Rincon;6;602;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Gladys Rincon Licona;gladysrinconx@gmail.com;3154545454
3701;Emanuel David Beltran;7;701;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Samuel Beltran Ayola;samuelbeltrand@gmail.com;3205656565
